object_id,roles,kind,active_joint,urdf_relative_path,urdf_sha256,urdf_bytes,asset_in_release
48379,P1 metric archive; P2 source; gripper expanded screen,revolute,joint_0,48379/mobility.urdf,86ab7ae691b80421f15b29c9e9306d5c0040a3987f60f4150a38b7f92da56dfe,13506,no
48452,P1 metric archive; P2 source; gripper expanded screen,revolute,joint_0,48452/mobility.urdf,c9314e8a7385ee8294118d4e9dc2585e72c3543e6b2011af100c3f469bd71bb3,5632,no
48878,P1 metric archive,prismatic,joint_0,48878/mobility.urdf,ea8292b343b06c2f235cd4fb8659afde226329b1aeefa12337f92ef895c309ab,14829,no
49042,P1 metric archive; P2 source; gripper expanded screen,revolute,joint_0,49042/mobility.urdf,c48bbb3eb2cc9191f827238089677cb63d7065d9a495b3963953046591aa0ff5,11719,no
49133,P1 metric archive; P2 source; gripper expanded screen,revolute,joint_0,49133/mobility.urdf,019313207f61288127ec953de4dc2103ee44b5109c04efd02281ca9589f6e4c3,12635,no
100282,P1 metric archive; P2 source,revolute,joint_0,100282/mobility.urdf,efbdb15daee623d83eaa2a10b18c0a700e8f591323d3a9347555ca37c52113ac,14543,no
101579,P3 mechanism,,joint_0,101579/mobility.urdf,9b94eb7d7bc06ce0281d9acc90f63e0096d8402fc8f1b395f3daa7b8a9a6932c,22855,no
101584,P1 metric archive; P2 source,revolute,joint_0,101584/mobility.urdf,0e7feec9b84bc2c5e475554b656c94e3b3d3ad648b2df243ff18bf5dede0ebe5,21504,no
101593,P1 metric archive; P2 RGB target,revolute,joint_0,101593/mobility.urdf,30aa63f12fff125685afcc0e55f90fbad499b77f8ccd26de38e9a1df2375fb77,5033,no
101603,P1 metric archive; P2 source,revolute,joint_0,101603/mobility.urdf,8dca542a76b22a0f776c49a4352bbeeb766f9ad2348ace64b6a769203410860c,8023,no
101611,P1 metric archive; P2 RGB target,revolute,joint_0,101611/mobility.urdf,f91c911d08864f84724ebd8260c6f32e22ee37229f1f39afeb67d2a8a714eddb,10803,no
101619,P1 metric archive; P2 source,revolute,joint_0,101619/mobility.urdf,7f16815a0e14210a8b0b790a3ce586bf5507b2bd944227519d91c54031d876f5,14360,no
101773,P1 metric archive; P2 source,revolute,joint_0,101773/mobility.urdf,ea3ef337073b4396d7739f405e0324956fe9035fd53310b7768fa0ea6b258cff,29490,no
102278,P1 metric archive; P2 source,revolute,joint_0,102278/mobility.urdf,98f287ac55b27127cc45b89320c67b57930e6bde42489de7d9564283de32e642,51798,no
102301,P1 metric archive; P2 RGB target,revolute,joint_0,102301/mobility.urdf,433a6bb45648c89d2bacbcd62db3aaa17fc7458c64e6bc53a9f772e3b47b62cd,17508,no
102316,P1 metric archive; P2 source,revolute,joint_0,102316/mobility.urdf,9732632ebbb3ff8d105825358c05da9da7b12099e36f50dc144aed83c90e9d7b,12056,no
102380,P4 delay-magnitude; P4 joint H-delay,,joint_0,102380/mobility.urdf,cd40a243031a34b6a8b3a512873a786f8872afce52dbd47a9b107fde102bf952,13476,no
102387,P1 metric archive; P2 source,revolute,joint_0,102387/mobility.urdf,3c99f8eea85152ca41dbbf9ea909dc2789e01ef0f2e474c5f9a26eb188daaf3c,5095,no
102423,P1 metric archive; P2 source; P4 delay-magnitude; P4 joint H-delay,revolute,joint_0,102423/mobility.urdf,667882a9d38f73c44e3aba03b3f86c1233527ed9338d0a3f3765e085c7caa781,127169,no
103351,P1 metric archive; P2 source,revolute,joint_0,103351/mobility.urdf,2cd02e84715a1501f4aa1863b3caf4b7bf7ad5066980a943517d847d97c5791b,48255,no
103369,P1 metric archive; P2 source,revolute,joint_0,103369/mobility.urdf,15983ebbf31fce1359a3a3705f7b18a906cac9d1453cc106b937be3c5466badb,24061,no
103425,P1 metric archive; P2 source; P3 mechanism,revolute,joint_0,103425/mobility.urdf,e45e4e3e49391071f2ab87905239ab9d7b69935f9bc9a8adfe31bd92c3bbaf3d,19254,no
103452,P1 metric archive; P2 source,revolute,joint_0,103452/mobility.urdf,9e89482e353aa0149c28d6afbf795146ddef39c8bdd4cce96c92ec880e05b688,42678,no
103508,P1 metric archive; P2 source; P4 delay-magnitude; P4 joint H-delay,revolute,joint_0,103508/mobility.urdf,8417adf417c41f51ddd816bc50d74508a34f6033ec0558ebe5eb627412019add,22316,no
103776,P1 metric archive; P2 source; P3 mechanism,revolute,joint_0,103776/mobility.urdf,f6d507948d6c6cafa47eb77234dd34401ffc2c9772aecc734a35e0b213589db6,36250,no
103778,P1 metric archive; P2 source,revolute,joint_0,103778/mobility.urdf,97608106aebf3a2c2e4e0e3a809eb8804d02916887a23ad47e57c8e247ee4dca,17355,no
